
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.0.20:56496     2.17.47.79:443         ESTABLISHED     4456
  TCP    192.168.0.20:56497     2.17.47.79:443         ESTABLISHED     4456
  TCP    192.168.0.20:56499     40.126.53.7:443        ESTABLISHED     4456
  TCP    192.168.0.20:56500     104.16.254.120:443     ESTABLISHED     4456
  TCP    192.168.0.20:56506     172.217.29.202:443     CLOSE_WAIT      4456
  TCP    192.168.0.20:56533     34.0.63.29:443         ESTABLISHED     4456
  TCP    192.168.0.20:56535     142.250.219.195:443    ESTABLISHED     4456
  TCP    192.168.0.20:56593     172.217.29.131:443     ESTABLISHED     4456
  TCP    192.168.0.20:56616     181.12.37.70:443       ESTABLISHED     4456
  TCP    192.168.0.20:56754     107.178.255.183:443    ESTABLISHED     4456
  TCP    192.168.0.20:56771     2.17.47.71:443         ESTABLISHED     4456
  TCP    192.168.0.20:56773     2.17.47.71:443         ESTABLISHED     4456
  TCP    192.168.0.20:56774     2.17.47.71:443         ESTABLISHED     4456
  TCP    192.168.0.20:56775     2.17.47.71:443         ESTABLISHED     4456
  TCP    192.168.0.20:56776     2.17.47.71:443         ESTABLISHED     4456
  TCP    192.168.0.20:56777     2.17.47.71:443         ESTABLISHED     4456
  TCP    192.168.0.20:56789     172.217.30.8:443       ESTABLISHED     4456
  TCP    192.168.0.20:56792     54.157.59.36:443       ESTABLISHED     4456
  TCP    192.168.0.20:56795     108.158.186.34:443     ESTABLISHED     4456
  TCP    192.168.0.20:56796     138.199.46.68:443      ESTABLISHED     4456
  TCP    192.168.0.20:56797     138.199.46.68:443      ESTABLISHED     4456
  TCP    192.168.0.20:56798     104.17.249.203:443     ESTABLISHED     4456
  TCP    192.168.0.20:56800     108.158.168.160:443    ESTABLISHED     4456
  TCP    192.168.0.20:56801     172.67.23.234:443      ESTABLISHED     4456
  TCP    192.168.0.20:56802     18.67.130.73:443       ESTABLISHED     4456
  TCP    192.168.0.20:56803     13.249.105.119:443     ESTABLISHED     4456
  TCP    192.168.0.20:56807     138.199.46.68:443      ESTABLISHED     4456
  TCP    192.168.0.20:56808     142.251.129.238:443    ESTABLISHED     4456
  TCP    192.168.0.20:56809     142.251.132.2:443      ESTABLISHED     4456
  TCP    192.168.0.20:56810     95.100.156.167:80      TIME_WAIT       0
  TCP    192.168.0.20:56811     172.217.29.195:443     ESTABLISHED     4456
  TCP    192.168.0.20:56813     104.22.5.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56814     104.22.4.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56826     69.173.151.100:443     ESTABLISHED     4456
  TCP    192.168.0.20:56827     104.22.4.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56828     104.22.5.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56829     104.22.5.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56830     104.22.4.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56831     142.250.0.84:443       ESTABLISHED     4456
  TCP    192.168.0.20:56833     142.251.132.234:443    ESTABLISHED     4456
  TCP    192.168.0.20:56834     172.217.29.42:443      ESTABLISHED     4456
  TCP    192.168.0.20:56836     104.22.4.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56838     142.250.0.84:443       ESTABLISHED     4456
  TCP    192.168.0.20:56842     104.22.4.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56843     104.22.4.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56844     104.22.4.69:443        ESTABLISHED     4456
  TCP    192.168.0.20:56845     20.191.127.184:443     TIME_WAIT       0
  TCP    192.168.0.20:56846     104.22.74.216:443      ESTABLISHED     4456
  TCP    192.168.0.20:56850     130.211.23.194:443     ESTABLISHED     4456
  TCP    192.168.0.20:56851     130.211.23.194:443     ESTABLISHED     4456
  TCP    192.168.0.20:56889     142.250.219.195:443    ESTABLISHED     4456
  TCP    192.168.0.20:56890     142.250.219.46:443     ESTABLISHED     4456
  TCP    192.168.0.20:56892     52.109.12.13:443       TIME_WAIT       0
  TCP    192.168.0.20:56928     209.85.235.94:443      ESTABLISHED     4456
  TCP    192.168.0.20:56931     3.232.112.38:443       TIME_WAIT       0
  TCP    192.168.0.20:56933     172.217.29.46:443      ESTABLISHED     4456
  TCP    192.168.0.20:56935     142.250.219.195:443    ESTABLISHED     4456
  TCP    192.168.0.20:56936     20.44.229.112:443      TIME_WAIT       0
  TCP    192.168.0.20:56937     20.44.229.112:443      TIME_WAIT       0
  TCP    192.168.0.20:56938     181.12.37.70:443       ESTABLISHED     4456
  TCP    192.168.0.20:56939     34.98.110.65:443       ESTABLISHED     4560
  TCP    192.168.0.20:56940     18.239.225.34:443      ESTABLISHED     4456
  TCP    192.168.0.20:56942     34.89.0.178:443        ESTABLISHED     4456
